Unnamed: 0,company_name,rate,city,state,job_id,remote_work,job_title,salary,salary_estimate,salary_avg,company_size,company_type,company_sector,company_founded,company_industry,descriptions_txt,descriptions_list,job_age,pros,cons
0.0,DANE LLC,,Ashburn,VA,1007598243322,0,Data Scientist,Employer Provided Salary:$111K - $162K,Employer Provided Salary:,"$136,308 /yr (est.)",,,,,,"['We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.', 'Responsibilities', 'Skills', 'Job Type: Full-time', 'Pay: $110,535.00 - $162,080.00 per year', 'Benefits:', 'Schedule:', 'COVID-19 considerations:\nRemote work during covid.', 'Education:', 'Experience:', 'Work Location: One location']","['Identify valuable data sources and automate collection processes', 'Undertake preprocessing of structured and unstructured data', 'Analyze large amounts of information to discover trends and patterns', 'Build predictive models and machine-learning algorithms', 'Combine models through ensemble modeling', 'Present information using data visualization techniques', 'Propose solutions and strategies to business challenges', 'Collaborate with engineering and product development teams', 'Proven experience as a Data Scientist or Data Analyst', 'Understanding of machine-learning and operations research', 'Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset', 'Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)', 'Analytical mind and business acumen', 'Strong math skills (e.g. statistics, algebra)', 'Problem-solving aptitude', 'Excellent communication and presentation skills', 'BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred', 'Dental insurance', 'Flexible schedule', 'Health insurance', 'Paid time off', 'Retirement plan', 'Tuition reimbursement', 'Vision insurance', 'Monday to Friday', ""Bachelor's (Preferred)"", 'Python: 3 years (Preferred)', 'SQL: 3 years (Preferred)', 'Data Scientists & Statisticians: 3 years (Preferred)']",2022-01-27,[],[]
1.0,"Vanu, Inc.",,Lexington,MA,1007596019243,0,Data Scientist,Employer Provided Salary:$100K - $150K,Employer Provided Salary:,"$125,000 /yr (est.)",,,,,,"['We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.', 'Responsibilities', 'Skills', 'Job Type: Full-time', 'Pay: $100,000.00 - $150,000.00 per year', 'Benefits:', 'Schedule:', 'COVID-19 considerations:\nMost all employee are still working remotely due to Covid. For employees that need to go in to work on the hardware equipment, they can go any time. In non-Covid times, WFH policy is quite flexible. However, most employees do go into the office M-F.', 'Education:', 'Experience:', 'Language:', 'Work Location: One location']","['Identify valuable data sources and automate collection processes', 'Undertake preprocessing of structured and unstructured data', 'Analyze large amounts of information to discover trends and patterns', 'Build predictive models and machine-learning algorithms', 'Combine models through ensemble modeling', 'Present information using data visualization techniques', 'Propose solutions and strategies to business challenges', 'Collaborate with engineering and product development teams', 'Proven experience as a Data Scientist or Data Analyst', 'Experience in data mining', 'Understanding of machine-learning and operations research', 'Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)', 'Analytical mind and business acumen', 'Strong math skills (e.g. statistics, algebra)', 'Problem-solving aptitude', 'Excellent communication and presentation skills', 'BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred', '401(k)', 'Dental insurance', 'Flexible schedule', 'Health insurance', 'Health savings account', 'Life insurance', 'Paid time off', 'Parental leave', 'Professional development assistance', 'Relocation assistance', 'Monday to Friday', ""Master's (Preferred)"", 'Python: 1 year (Preferred)', 'SQL: 1 year (Preferred)', 'English (Required)']",2022-01-27,[],[]
2.0,"DANE, LLC",4.2,,,1007598612511,1,Data Scientist,Employer Provided Salary:$78K - $182K,Employer Provided Salary:,"$129,819 /yr (est.)",1 to 50 Employees,Computer Hardware & Software,$1 to $5 million (USD),Company - Private,Information Technology,"['We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.', 'Responsibilities', 'Skills', 'Job Type: Full-time', 'Pay: $77,617.00 - $182,021.00 per year', 'Benefits:', 'Schedule:', 'COVID-19 considerations:\nRemote Due to COVID', 'Education:', 'Experience:', 'Security clearance:', 'Work Location: Remote']","['Identify valuable data sources and automate collection processes', 'Undertake preprocessing of structured and unstructured data', 'Analyze large amounts of information to discover trends and patterns', 'Build predictive models and machine-learning algorithms', 'Combine models through ensemble modeling', 'Present information using data visualization techniques', 'Propose solutions and strategies to business challenges', 'Collaborate with engineering and product development teams', 'Proven experience as a Data Scientist or Data Analyst', 'Experience in data mining', 'Understanding of machine-learning and operations research', 'Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)', 'Analytical mind and business acumen', 'Strong math skills (e.g. statistics, algebra)', 'Problem-solving aptitude', 'Excellent communication and presentation skills', 'BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred', 'Dental insurance', 'Health insurance', 'Paid time off', 'Retirement plan', 'Tuition reimbursement', 'Vision insurance', 'Monday to Friday', ""Bachelor's (Preferred)"", 'Python: 3 years (Preferred)', 'SQL: 3 years (Preferred)', 'Confidential (Preferred)']",2022-01-27,[],[]
3.0,Sports Partners,,,,1007598354049,1,Machine Learning Engineer,Employer Provided Salary:$100K - $250K,Employer Provided Salary:,"$175,000 /yr (est.)",,,,,,"['Machine Learning Engineer', 'Job Description\nWe are an innovative firm involved in sports handicapping that is interested in hiring a highly skilled and motivated Machine Learning Engineer to work with our team of analysts to design, develop, and implement a unique ML-Powered solution. In this full-time position, the candidate’s primary duties will be data gathering, compiling, and evaluation to improve the efficiency of current operations and incorporate additional factors for analysis.', 'You will be developing new machine learning applications, evaluating processes, performing statistical analysis, and enhancing the accuracy of our current capabilities.', 'We are seeking engineers with demonstrable data science knowledge, experience in machine learning, and exceptional skills in statistics and programming.', 'Duties and Responsibilities\nCandidate will be responsible for completing specific computer programming requests such as internet data acquisition and analysis, creating databases, conducting random and fundamental modeling, conducting statistical analysis, and automating tasks currently done manually. The ability to set up a cloud infrastructure to conduct machine learning is also a plus.', 'The candidate will interface with the current group of analysts, each of whom has been active in the industry for several years. The candidate can (and is encouraged to) work remotely. Some minimal travel could be required.', 'Desired Competencies', 'Education and Experience\nCandidates for this position should have a bachelor’s degree in information systems, computer science, computer engineering, or related area of study. Master’s degrees, professional certifications, and [3+] years of experience are a plus.', 'Salary and Benefits\nAll elements of salary and benefits, such as a signing bonus, annual salary, participation in benefit packages, etc. are negotiable. Hiring group expects to be very competitive.', 'Job Type: Full-time', 'Pay: $100,000.00 - $250,000.00 per year', 'Benefits:', 'Schedule:', 'Education:', 'Experience:', 'Work Location: Remote']","['3+ years of related experience in machine learning, engineering, data management, and data collection.', 'Experience with one or more general purpose programming languages including but not limited to: C++, C#, or Python.', 'Extensive experience in back-end development, algorithms, and data structures.', 'In-depth knowledge of mathematics, statistics, and algorithms.', 'The ability to solve complex problems on the fly with creative out-of-the box thinking', 'Self-development skills with a willingness to keep up to date with fast changing trends.', 'The ability to work within a fast-paced environment and be adaptable to change.', '401(k)', '401(k) matching', 'Dental insurance', 'Flexible schedule', 'Health insurance', 'Life insurance', 'Paid time off', 'Vision insurance', '8 hour shift', ""Bachelor's (Preferred)"", 'Python: 1 year (Preferred)', 'SQL: 1 year (Preferred)']",2022-01-27,[],[]
4.0,Advanced Radiology Services,4.1,Grand Rapids,MI,1007596014500,0,R Programmer,Employer Provided Salary:$60K - $85K,Employer Provided Salary:,"$72,500 /yr (est.)",201 to 500 Employees,Company - Private,Health Care,1997,Health Care Services & Hospitals,"['Who we are: Advanced Radiology Services is one of the largest physician-owned radiology practices in the country. Our growing practice includes 214 radiologists and 37 advanced practice providers, and 182 employees providing administrative support to our wholly owned subsidiary STARS. We value diversity on our team and promote a culture of inclusion.', 'What we are looking for: We are looking for an R Programmer as part of our Data Analyst team. Employee will be responsible for designing complex analytical models and sophisticated tools for use within STARS and ARS. Employee will be working closely with the rest of the Decision Support team and in particular our Data Scientist to identify potential predictive and Big Data Initiatives.', 'Responsibilities:', 'Requirements:', 'Why do you want to work here? STARS is the wholly owned subsidiary for Advanced Radiology Services. Our goal is to support the practice so our physicians can provide the highest level of service to our patients and health care partners. We are passionate about this mission! We work hard but we are also committed to improving the lives of our employees through ongoing culture and wellness initiatives. Come see for yourself why it’s a great place to work.', 'Job Type: Full-time', 'Pay: $60,000.00 - $85,000.00 per year', 'Benefits:', 'Schedule:', 'Ability to commute/relocate:', 'Education:', 'Experience:', 'Work Location: One location']","['Perform statistical analysis and data mining to identify trends, figures arising from a variety of business needs.', 'Utilize R Shiny to build out dashboards, interactive tools, and data views.', 'Utilize R Markdown to automate the creating and distribution of standard reports.', 'Assist and lead in continuing to build out our functioning data warehouse.', 'Work with evolving technologies and evaluate data science trends for the Decision Support Department.', 'Provide research and analytical expertise for all DS projects.', 'Manage and execute on daily requests for analysis and information all of STARS/ARS. Provide deliverables back to the requestor in a timely manner meeting their requirements.', 'Bachelor’s degree in computer science, Mathematics, Data Science or Statistics is required.', 'Additional 3-7 years of industry experience utilizing those skills is required.', 'Experience with Statistical Programming Languages such as R Markdown, R Shiny and the tidyverse suite of packages is required.', 'Experience of knowledge with CSS and HTML is a plus.', 'Strong written, verbal, and interpersonal communication skills.', 'Highly motivated and can work independently.', 'Strong and proven analytical and problem-solving abilities.', 'Ability to manage multiple projects at the same time, as well as, the ability to stay focused on specific key business and operational deliverables.', '401(k)', 'Dental insurance', 'Health insurance', 'Health savings account', 'Paid time off', 'Referral program', 'Tuition reimbursement', 'Vision insurance', '8 hour shift', 'Day shift', 'Monday to Friday', 'Grand Rapids, MI 49525: Reliably commute or planning to relocate before starting work (Preferred)', ""Bachelor's (Required)"", 'Data analytics: 3 years (Preferred)', 'R Programming: 3 years (Required)']",2022-01-27,"['""If someone has an interest in developing his or her talent, they are given opportunity to do so."" (in 2 reviews)', '""Patient care centered, family friendly, compassionate."" (in 2 reviews)', '""Work is autonomous and pay is well."" (in 1 reviews)', '""It values human capital and invests in technology to move it forward."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.']
5.0,NIKE INC,4.1,Portland,OR,1007598461744,0,"Senior Director, Member Modeling Data Science",$96K - $219K (Glassdoor est.),(Glassdoor est.),"$145,449 /yr (est.)",10000+ Employees,Company - Public,Manufacturing,1972,Consumer Products Manufacturing,"['Become a Part of the NIKE, Inc. Team', 'NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.', 'Member Modeling Data Science is part of Nike’s Insights function. So you will also be a member of the broader data science and analytics community at Nike, and participate in our data science labs, study groups, and activities, and attend conferences.', 'What you bring', 'NIKE, Inc. is a growth company that looks for team members to grow with it. Nike offers a generous total rewards package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Nike employee shares one galvanizing mission: To bring inspiration and innovation to every athlete* in the world.', 'NIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.']","['Lead a talented team of Data Science Directors and Sr Data Scientists. Hire, onboard, and develop additional data scientists and data science directors.', 'Lead workstreams that require cross-functional squads that include data scientists, data engineers, analysts, and product managers.', 'Manage our portfolio of member model capabilities, including lifetime value, segmentation, fraud, and onboarding models.', 'Develop methods and tools that further enrich Nike’s member data while also respecting the privacy of our members.', 'Expand the vision for member modeling at Nike. Learn the business of designing shoes and apparel and bringing them to market around the globe to understand how to best serve stakeholders.', 'Be a part of the broader data science community within Nike and contribute to a culture of learning.', 'Experience hiring and mentoring exceptional data scientists.', 'Experience leading through leaders (directors will report into you).', 'Experience developing strong partnerships with engineering and product teams.', 'Experience communicating technical roadmaps to business leaders.', 'Experience practicing data science.', 'A product and entrepreneurial mindset.', 'Bachelors degree or higher or Combination of relevant education, experience and training.']",2022-01-27,"['""Nike has generally nice people and tries its best to provide a fun working environment."" (in 21 reviews)', '""good benefits"" (in 13 reviews)', '""Great brand, leadership, and culture."" (in 17 reviews)', '""There are endless opportunities and they spend a lot of time training leadership which I really appreciated."" (in 12 reviews)', '""Transportation work life balance good"" (in 15 reviews)']","['""there is a lack of advancement opportunity"" (in 12 reviews)']"
6.0,Kanini Software Solutions,4.3,Nashville,TN,1007598240892,0,Azure DB Resource / Data Architect,Employer Provided Salary:$65 - $70 Per Hour,Employer Provided Salary:,,201 to 500 Employees,Company - Private,Information Technology,2003,Enterprise Software & Network Solutions,"['About Kanini', 'Kanini provides Agile Software Development, Cloud Computing, Data Science, and Location Intelligence services to public and private organizations. We have successfully served our clients in government, finance, transportation, utility, and software industries since 2003.', 'Why you should join', 'Working at Kanini is flexible and personal. We are a highly motivated, collaborative team experimenting with the latest technologies. We are committed to everyone having a healthy work/life balance, and we provide extensive mentorship and training resources to help you succeed.', 'Kanini is looking for an experienced Azure DB Resource / Data Architect who has strong experience in Azure DB and queries optimization', 'Responsibilities', '–Kanini Software Solutions, Inc. does not discriminate in employment matters on the basis of race, gender, religion, age, national origin, citizenship, veteran status, family status, disability status, or any other protected class. We support workplace diversity. If you have a disability, please let us know if there is anything we can do to improve the interview process for you; we’re happy to accommodate.', 'Kanini Software Solutions, Inc., 25 Century Blvd., Ste. 602, Nashville, TN 37214', 'Contract length: 9 months', 'Job Types: Full-time, Contract', 'Pay: $65.00 - $70.00 per hour', 'Schedule:', 'Work Remotely:']","['We are looking for a senior Azure DB resource to have experience in the following list of capabilities.', 'We are looking for someone who will need to operate hands on and is strong in problem solving and delivering results.', 'This is not a management or tech lead role but, it is a senior role who needs to be able to jump into existing objects and solve problems.', 'Should have experience with lot of database development experience might be the profile to try.', 'Able to optimize queries, views, stored procedures to improve performance or Power BI reports', '8 hour shift', 'Yes']",2022-01-27,"['""Great work environment."" (in 5 reviews)', '""Management is employee friendly."" (in 3 reviews)', '""good pay , good ambiance , friendly hr"" (in 2 reviews)', '""Friendly, respect for people, amazing work culture"" (in 1 reviews)', '""Very kind Senior management."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.']
7.0,NATIONAL GRID CO USA (NE POWER),3.9,Acton,MA,1007598324215,0,Data Science Manager,$83K - $170K (Glassdoor est.),(Glassdoor est.),"$118,936 /yr (est.)",10000+ Employees,Company - Public,"Oil, Gas, Energy & Utilities",1990,Utilities,"['In accordance with guidelines regarding companies classified as Federal contractors and consistent with our core commitment of safety, National Grid has made the decision to require all new hires to be fully COVID-19 vaccinated as a condition of hire. ""Full vaccination"" is defined as two weeks after both doses of a two-dose vaccine or two weeks since a single-dose vaccine has been administered. Anyone unable to be vaccinated, either because of a religious belief or a disability can request a reasonable accommodation.', 'Every day we deliver safe and secure energy to homes, communities, and businesses. We are there when people need us the most. We connect people to the energy they need for the lives they live. The pace of change in society and our industry is accelerating and our expertise and track record puts us in an unparalleled position to shape the sustainable future of our industry.', 'To be successful we must anticipate the needs of our customers, reducing the cost of energy delivery today and pioneering the flexible energy systems of tomorrow. This requires us to deliver on our promises and always look for new opportunities to grow, both ourselves and our business.', 'National Grid is hiring a Data Science Manager for our Data Science department in Waltham, MA.', 'As a Data Science Manager at National Grid, you will lead a team and do hands-on work. You will work in a dynamic organization to turn data into actionable intelligence. The variety and complexity of challenges you will solve is second to none, but most important is the real world impact your work will have on the lives of millions of people.', 'The National Grid Data Science teams provide insights and conclusions from multiple sources of information in a variety of different formats using analysis techniques that range from simple to advanced. An ability to work cross-functionally and on Agile teams is critical and you should have a broad knowledge of:', 'Preferred Skills and Experience:', 'National Grid is an equal opportunity employer that values a broad diversity of talent, knowledge, experience and expertise. We foster a culture of inclusion that drives employee engagement to deliver superior performance to the communities we serve. National Grid is proud to be an affirmative action employer. We encourage minorities, women, individuals with disabilities and protected veterans to join the National Grid team.']","['Statistical & Probabilistic Analyses', 'Programming/Software Development', 'Effective Visualization and Presentation', 'Lead, manage, and mentor a team of Data Scientists', 'Employ sophisticated analytics programs, machine learning, and statistical methods for predictive and prescriptive modeling, forecasting, and simulations', 'Discover the best methods of integrating data from several different sources and formats for use in analyses', 'Project manage efforts both internal to the team and across the enterprise', 'Be intellectually curious and enjoy learning', 'Can manage projects both internal to the team and across the enterprise.', 'Can supervise and mentor other team members.', '4+ years of data science experience (utility or energy sector is a plus)', 'Experience leading large projects and/or a team of individual contributors', 'Demonstrated ability to communicate and interact with business stakeholders without supervision', 'Demonstrated ability to translate technical knowledge into business terms', 'Fluency in:\nMachine learning tools and techniques\nPython and/or R\nSQL', 'Machine learning tools and techniques', 'Python and/or R', 'SQL', 'Experience with cloud computing in Linux and Windows environments (Azure is a plus)', 'Master’s degree in a quantitative discipline, exceptional candidates considered with Bachelor’s degree or Master’s degree in progress', 'Strong background in full lifecycle of Data Science products', 'Knowledge of Agile frameworks', 'Regulated utility experience', 'Active github repository and stackoverflow account', 'Data science competition entries (kaggle, kdnuggets, etc.)', 'Experimental Design experience', 'Interactive visualization tools (Power BI is a plus)', 'GIS knowledge (ArcGIS is a plus)']",2022-01-27,"['""Good work life balance (Depending on the team you are in)"" (in 15 reviews)', '""Stability and the people themselves are nice"" (in 19 reviews)', '""Good Pay and Benefits."" (in 13 reviews)', '""Good management"" (in 13 reviews)', '""Great culture, even while working from home!"" (in 17 reviews)']","['""Depending on what team you are on you can either have a great work life balance or a very poor work life balance."" (in 15 reviews)', '""Full of people with hidden agendas and/or ulterior motives."" (in 19 reviews)', '""Management also seems to feel the need to a restructuring at least every two years."" (in 13 reviews)']"
8.0,Mozilla Corporation,3.9,,,1007598590192,1,Software Engineer,Employer Provided Salary:$92 Per Hour,Employer Provided Salary:,,51 to 200 Employees,Company - Private,Business Services,2002,Staffing & Outsourcing,"['JOB TITLE: Software Engineer', 'LOCATION: Remote (USA)', 'COMPENSATION: $92.00/hr', ""As a Full-Stack Software Engineer with Mozlla, you'll bring breadth and depth to a growing team of similarly T-shaped engineers, reporting to the Head of Engineering. You'll work closely and collaboratively with our distributed team representing Design and Research, Data Science, and Product. You'll play a key role in shaping and building a product and platform early in its development by designing and implementing the well understood parts of the platform and supporting discovery through prototyping new areas of exploration."", 'This role will initially be a contract hire with conversion to full-time a possibility in the near future.', '#### An ideal candidate is someone who is...\n- Proficient with Javascript, client- and server-side (Node.js)\n- Familiar with a front-end framework like Svelte or React\n- Experienced with SQL-based databases and NoSQL document stores\n- Adept with Google Cloud Platform or Amazon Web Services\n- Able to develop right-sized architectural and software designs\n- Able to communicate effectively across disciplines\n- Able to work iteratively, breaking down big problems into smaller ones\n- Comfortable with ambiguity and the unknown\n- Curious and eager to learn', ""#### Responsibilities\n- Expand the capabilities of the platform through work on the user interface, supporting services, and infrastructure for Rally's experience\n- Write well-documented code and associated tests"", '#IND2\n- Participate in code and software and architectural design reviews as reviewer and reviewee\n- Generate prototypes for more speculative work', 'Job Type: Full-time', 'Pay: $92.00 per hour', 'Benefits:', 'Schedule:', 'Experience:', 'Work Location: Remote']","['Dental insurance', 'Health insurance', 'Vision insurance', '8 hour shift', 'Monday to Friday', 'Node.js: 2 years (Required)', 'a front-end framework like Svelte or React: 2 years (Required)', 'SQL-based databases and NoSQL document stores: 2 years (Required)']",2022-01-27,"['""Good benefits like vision and health."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.']
9.0,Kanini Software Solutions,4.3,Nashville,TN,1007598244312,0,Product Owner ( BI Reporting),Employer Provided Salary:$65 - $70 Per Hour,Employer Provided Salary:,,201 to 500 Employees,Company - Private,Information Technology,2003,Enterprise Software & Network Solutions,"['About Kanini', 'Kanini provides Agile Software Development, Cloud Computing, Data Science, and Location Intelligence services to public and private organizations. We have successfully served our clients in government, finance, transportation, utility, and software industries since 2003.', 'Why you should join', 'Working at Kanini is flexible and personal. We are a highly motivated, collaborative team experimenting with the latest technologies. We are committed to everyone having a healthy work/life balance, and we provide extensive mentorship and training resources to help you succeed.', 'Kanini is looking for an experienced Product Owner', 'Responsibilities & Qualification Required', '–Kanini Software Solutions, Inc. does not discriminate in employment matters on the basis of race, gender, religion, age, national origin, citizenship, veteran status, family status, disability status, or any other protected class. We support workplace diversity. If you have a disability, please let us know if there is anything we can do to improve the interview process for you; we’re happy to accommodate.', 'Kanini Software Solutions, Inc., 25 Century Blvd., Ste. 602, Nashville, TN 37214', 'Contract length: 6 months', 'Job Types: Full-time, Contract', 'Pay: $65.00 - $70.00 per hour', 'Schedule:', 'Work Remotely:']","['Experience on Product Management by collaborating with stakeholder and help define the requirements', 'Experience with a major reporting and/or analytics tool (TIBCO is a plus)', 'Possess the ability to communicate clearly – verbally and written – with all functional areas of the company and at internal/external events', 'Translating business needs into detailed user stories and provide good end to end business understanding to the Engineering Team', 'Create and maintain comprehensive project documentation', 'Strong understanding of the competitive landscape to appropriately define and position products', 'Enjoy spending time with customers to understand their problems and find and define innovative solutions that appeal to broader customer base and market segments', 'Conduct ad-hoc analyses as and when needed by stakeholders', 'Create and maintain product analytics dashboards', 'Present demo as needed to the Stakeholders', 'Analyze and build potential partner relationships for the product', 'Build Product Roadmaps and help build OKR’s for the Team for each quarter', 'Ability to manage multiple Projects at the same time', 'Design, build and deploy BI solutions (e.g., Reporting tools)', 'Collaborate with teams to integrate systems', 'Perform risk management to minimize project risks', 'Experience working on Confluence, Handling wiki pages, is a plus', 'Experience in JIRA is a plus', '8 hour shift', 'Yes']",2022-01-27,"['""Good work environment"" (in 9 reviews)', '""4. Friendly management."" (in 5 reviews)', '""Good culture"" (in 6 reviews)', '""friendly attitude, work life balance, good pay"" (in 3 reviews)', '""good pay , good ambiance , friendly hr"" (in 4 reviews)']",['No Cons have been reported by the Glassdoor community.']
