,Unnamed: 0,company_name,rate,city,state,remote_work,job_title,salary,salary_estimate,salary_avg,company_size,company_type,company_sector,company_founded,company_industry,descriptions_txt,descriptions_list,job_age,pros,cons
0,0,"7-Eleven, Inc.",3.2,Irving,TX,False,"Manager, Data Science",$59K - $140K,Glassdoor,"$90,850 /yr (est.)",10000+ Employees,Company - Private,Retail,1927,Food & Beverage Stores,"['Imagine working in a place where continuous improvement and innovation is celebrated and rewarded; where fast-paced, high-impact teams come together to positively drive results for one of the largest & most iconic brands in the world.', '', 'As the only rapidly growing retailer, you may know us as your friendly neighborhood store. You probably know our familiar name, have seen our pervasive logo, and have tried our highly sought-after products, such as Slurpee® and Big Bite®. “Brain Freeze” is a 7-Eleven registered trademark for our 53-year old Slurpee® and with over 77,000 stores globally (more than any other retailer or food service provider), we sell over 14 million a month.', '', '', '', '', '', '', '', '', '', '', '']","['Who we are', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",24h,"['""Good benefits and nice overtime"" (in 3 reviews)', '""Friendly atmosphere"" (in 3 reviews)', '""People were friendly, free parking garage."" (in 2 reviews)', '""Rich in culture and values"" (in 2 reviews)']","['""Benefits are not good so far"" (in 3 reviews)', '""No chance for promotion."" (in 3 reviews)']"
1,1,American Capital Group,4.3,Bellevue,WA,False,Data Scientist,$150K,Employer Provided Salary,"$150,000 /yr (est.)",51 to 200 Employees,Company - Private,Real Estate,1986,Real Estate,"['We are adding a Data Scientist to our growing team!', '', 'ABOUT AMERICAN CAPITAL GROUP', 'American Capital Group (ACG) is a fully-integrated real estate investment and development company. The company has designed and built more than 80 multifamily properties across 12 states over its 33 year history. Today, ACG is an industry leader with dedicated personnel in Engineering, Design, Acquisition, Development, Construction, Property Management, and Investment Management. We strongly value teamwork, integrity, transparency and strive to deliver the highest quality products and services to our investors and customers.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Great benefits and competitive salary"" (in 1 reviews)', '""Managers have an open door and it is a very professional place to work."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.']
2,2,"Systems Planning and Analysis, Inc.",4.1,Lorton,VA,False,"Data Science and Data Engineering - Multiple positions, Hiring Now!",$76K - $181K,Glassdoor,"$117,571 /yr (est.)",501 to 1000 Employees,Company - Private,Aerospace & Defense,1972,Aerospace & Defense,[],"['', '', '', '', '', '', '', '', '']",30d+,"['""The benefits are amazing and they have a great work environment."" (in 14 reviews)', '""Relaxed atmosphere, mostly friendly people"" (in 12 reviews)', '""""Small Company"" feel in terms of rapport with management and co"" (in 6 reviews)', '""Standard company, good pay and environment if you work at HQ."" (in 8 reviews)']","['""Pay and benefits are average at best."" (in 14 reviews)', '""Management is a bit old school"" (in 6 reviews)', '""Not the most competitive in pay and promotion was a challenge."" (in 8 reviews)', '""Company culture is dated."" (in 7 reviews)']"
3,3,Praescient Analytics,3.4,Washington,DC,False,Data Scientist,$50K - $250K,Employer Provided Salary,"$150,000 /yr (est.)",51 to 200 Employees,Company - Private,Business Services,2011,Consulting,"['Data Scientist', 'Clearance: None Required', 'Type: Full-Time', 'Start Date: Immediately', 'Salary: Negotiable, Based on Experience', 'Location: Washington, DC', 'Travel: None', 'Praescient Analytics, LLC is a Veteran-led, certified Woman-Owned Small Business (WOSB) founded in 2011 which specializes in implementing advanced analytics solutions across the defense, intelligence, and law enforcement communities. With over 40 contracts across 6 continents, over 70% of our employees are veterans and or have intelligence, law enforcement or counter fraud experience. We fully understand the unique challenges of our clients and work to identify, vet, implement, and enhance commercial and proprietary technologies to provide full scope solutions, because we have been there. Praescient has extensive experience designing, developing, and integrating solutions for customers including the US Army, Special Operations Command (SOCOM), US Navy (USN), US Marine Corps (USMC), US Coast Guard (USCG), Department of Justice (DOJ), Drug Enforcement Administration (DEA), and Federal Bureau of Investigation (FBI), Immigration and Customs Enforcement (ICE), intelligence community, and local law enforcement agencies, among others.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""The CEO is also extremely involved and sat in on many of our presentations and gave us real applicable advice."" (in 2 reviews)', '""Overall, the company itself is great and the people are great and if you are willing to learn they will teach you."" (in 1 reviews)', '""The work load is manageable and you do quantifiable things that actually give you hard skills."" (in 2 reviews)']","['""The ceo also talk to me in the beginning about employment and said she would get us security clearances."" (in 2 reviews)', '""Most of the interns didn’t know what they were doing and also agreed that there is no management or direction for the interns."" (in 1 reviews)']"
4,4,Swickard Shared Services (Las Vegas),4.0,Las Vegas,NV,False,"Data Science Specialist, Retail Strategy",$37K - $89K,Glassdoor,"$57,465 /yr (est.)",501 to 1000 Employees,Unknown / Non-Applicable,,Company - Private,,"['', 'At Swickard Auto Group, we’re passionate about our customers and using the most innovative, cutting-edge technology to revolutionize the way customers purchase and service their vehicles at our dealerships.', 'Our customers are the reason we’re here. Our culture is defined by a few core principles: We want to be our customers’ favorite place to purchase, lease, or service their vehicle, and we want to be your favorite place to work! We are a hospitality company that happens to be in the automotive industry. We are data-driven, and our aim is to use data to continuously improve the in-store and online guest experience with our dealerships.', 'Automotive News ranks Swickard Auto Group as one of the top dealer groups in the US. We are looking for like-minded team members that are laser focused on discovering insights in data to identify ways we can continue improving each interaction with our customers. Swickard’s unique perspective on automotive retail strategy is transforming the automotive industry and we are looking for top-notch individuals to join our fast-growing team.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '']",26d,"['""Great opportunity for growth, good management, minimal turnover."" (in 12 reviews)', '""boarding, friendly employees, many options"" (in 12 reviews)', '""Great hours &amp; great pay, and the other workers are not so bad, the time goes by really fast &amp; you are busy for most of your shift"" (in 6 reviews)', '""Culture is is open and friendly"" (in 7 reviews)']","['""Management was rude and tough on you"" (in 12 reviews)', '""During the orientation/onboarding we were shown videos telling us how much their employees meant to them, how family friendly they were, and that happy employees directly reflected that to customers."" (in 12 reviews)', '""Corporate couldn’t care less about you, set unrealistic goals and budgets and cut your pay if you don’t match the goals."" (in 6 reviews)', '""Benefits almost don’t exist."" (in 4 reviews)']"
5,5,M-Tech Systems USA,3.6,,,True,Data Science Engineer,$85K - $95K,Employer Provided Salary,"$90,000 /yr (est.)",51 to 200 Employees,Computer Hardware & Software,$10 to $25 million (USD),Company - Public,Information Technology,"['Data Science Engineer', 'M-Tech Systems is a stable, fast growing, and industry leading international software development company headquartered in the Dunwoody/400 - Perimeter Area of Atlanta. Retaining and recruiting outstanding team members is a mission-critical component of our ongoing success.', 'M-Tech Systems offers competitive salaries, excellent benefits, a working atmosphere that encourages collaboration, comfortable facilities, exceptional IT tools, training, and ongoing opportunities to work with senior and executive management.', 'Job Brief:', 'The Data Science Engineer’s role involves accumulating and deriving meaning from large datasets. The Data Science Engineer needs to be able to apply statistical and machine learning models, such as non-linear regressions, boosted decision trees and neural networks, to these large datasets to detect underlying trends that can drive value to our customers. The Data Science Engineer also needs to be able to coordinate with fellow engineers, product owners, and other stakeholders to apply the results of these analytics in a way that makes a positive impact to our customers.', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Good people, benefits, and a fun place to work"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.']
6,6,Wayfair,3.4,Boston,MA,False,"Manager, Applied Data Science",$83K - $156K,Glassdoor,"$113,761 /yr (est.)",10000+ Employees,Company - Public,Retail,2002,Home Furniture & Housewares Stores,"['The B2B Insights & Analytics team exists to drive optimal decision-making that improves our business customers’ FF&E shopping experience through Sales interactions. We seek to optimize Sales incrementality by identifying the most CLV-accretive Sales interactions with customers, as a critical driver of our flywheel. The data we are experts in represents the voice of external customers (e.g. onsite activity, communication with Business accounts, orders, & firmographic data) and internal customers (e.g. onsite activity, communication between Sales representatives & Business accounts, CRM, and Sales Operations data) - we source, interpret and translate that voice into action that serves our customers. This team leads measurement - particularly around causal inference - and also plays a data challenger role to ensure the STO understands the “why” behind great customer experiences. And we partner closely with Data Science - to jointly develop and apply machine learning approaches to drive growth, and Data Solutions/Engineering - to ensure we have a strong, and high-velocity data foundation.\nApplied Data Science - B2B Sales Incrementality Optimization team exists to identify opportunities and provide actionable recommendations based on hard data to grow revenue and improve efficiency. We strive to deliver better understanding of customers and improve the engagement model between Sales and customers.\nWe expect team members and management to take high degree of ownership for their areas of focus, and execute on ideas and deliver results under fast-paced cultures. Beyond a strong academic background, a successful candidate will have experience successfully designing and launching A/B testing, measuring impact for unbalanced or skewed data sets, building models and/or creatively leveraging model outputs to improve the existing Sales program structures or Sales engagement models. We are looking for someone who is a self-starter, who approaches complex business questions with data and curiosity, who dives below the surface to identify the causal relationship rather than just trends, and who works effectively with technical and non-technical cross-functional teams.', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""time job, and the people I met there were smart and (mostly) kind."" (in 56 reviews)', '""Great culture and lots of people right out of college to make the transition into a new job easy."" (in 53 reviews)', '""Good work life balance and an international environment."" (in 30 reviews)', '""Competitive pay"" (in 41 reviews)', '""Great Experience and great managers"" (in 25 reviews)']","['""People are also EXTREMELY cliquey here."" (in 56 reviews)', '""Culture has become less like that of a startup\'s"" (in 53 reviews)', '""Bad work/life balance, Too much work to do, Overloaded teams with less resources"" (in 30 reviews)', '""low pay compared to other tech company"" (in 41 reviews)', '""The organization is a bit top heavy with more managers and fewer analysts, which doesn\'t help with the workload."" (in 25 reviews)']"
7,7,Asset Based Lending (ABL),4.5,Jersey City,NJ,False,Data Modeler (Hybrid),$75K - $110K,Employer Provided Salary,"$92,500 /yr (est.)",1 to 50 Employees,Unknown / Non-Applicable,,Company - Private,,"['This role is Hybrid***', 'At Asset Based Lending (ABL), we are striving to be the top hard money lenders in the nation. We understand that in order to exceed our goals we need inspired, talented, and driven leaders. This starts with you! If you would like to be a part of the most innovative hard money lenders in the business and have a passion for real estate, you have found the right place.', 'ABL is actively seeking a motivated and detail-oriented Data Modeler to join our rapidly expanding Accounting and Operations Team. This person will work directly with senior leadership to refine internal processes, develop data model analysis such as, seasonality payoff, draw timeline, commission profitability, etc. This includes but is not limited to the development of a CRM dashboard and cash flow projections.', 'Our NJ lending team is extremely customer centric and is experiencing tremendous growth. The ideal candidate will be driven to learn the real estate and lending business while staying curious, work to consistently elevate their standards, and be comfortable juggling competing priorities. If you have a tireless drive to succeed, and a need for learning while growing personal and organizational success, come join the ABL team!', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '']",11d,[],[]
8,8,"Continental Finance Company, LLC",4.1,Wilmington,DE,False,Data Scientist,$80K - $100K,Employer Provided Salary,"$90,000 /yr (est.)",51 to 200 Employees,Company - Private,Finance,2005,Lending,"['Come join a growing financial technology company that’s leading the marketplace in both the marketing and servicing of credit cards! Continental Finance Company specializes in credit card options for those consumers with less than perfect credit. We are seeking a Data Scientist to support our Data Science team.', ""The Data Scientist will be responsible for developing quantitative/analytic models and applications in support of the firm's risk underwriting and marketing effort. This role focuses on the development of models, strategies, and operational guidelines for the organization's various credit card products as they relate to the analysis, tracking, and reporting of various risk metrics. This role requires advanced degree in statistics/probability, physics, applied mathematics or another heavy quantitative discipline. Our Quantitative Analytic staff is focused on and responsible for the development of the theory and mathematics behind various models. This position reports to Chief Data Scientist."", '***CFC offers a hybrid work schedule which includes three (3) core days in the office (Tuesday, Wednesday, and Thursday) and two (2) remote workdays (Monday and Friday)***', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Many company perks and great holiday time off."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.']
9,9,Kite Pharma,-1.0,Santa Monica,CA,False,"Data Science Associate II - $8,000* Sign On",,,-1,1001 to 5000 Employees,Company - Public,Biotech & Pharmaceuticals,2008,Biotech & Pharmaceuticals,"['', '', 'Everyone at Kite is grounded by one common goal – curing cancer. Every single day, we seek to establish a direct line between that purpose and our day-to-day work. Join us in our mission!', '', 'Kite is seeking a highly motivated, experienced, and resourceful Data Analyst to support the Global Quality Organization operating out of our headquarters in Santa Monica, CA. Kite Quality is responsible for adhering to regulatory requirements while improving existing processes, reducing waste, and lowering costs to safely improve patient access to our life-saving therapies.', '', 'In this role you will collect, measure, visualize and interpret data across multiple functions that include Quality, Supply Chain, Manufacturing and Process Development with the intent of turning data into information, information into insights and insights into informed business decisions.', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Good pay, excellent benefits, 401k match is out of this world."" (in 9 reviews)', '""Good pay, stock, 401k, health benefits"" (in 3 reviews)', '""Group director is a pleasure to work with, listens to concerns, genuinely kind, with brilliant expertise."" (in 6 reviews)', '""Good company and colleagues to work with"" (in 5 reviews)']","['""2. Upper management is fully aware of this culture and does nothing to get rid of this mentality"" (in 7 reviews)']"
